"AphiaID","scientificName","scientificNameWWF","vernacularName","scientificNameID","match_type","acceptedNameUsageID","rank","listedIn","annex","note","gbif_speciesKey","gbif_scientificName","gbif_matchType","taxonID"
"289169","Cryptodendrum adhaesivum","Cryptodendrum adhaesivum","Adhesive Sea Anemone","urn:lsid:marinespecies.org:taxname:289169","exact","289169","Species","NRL","3",NA,2257667,"Cryptodendrum adhaesivum (Klunzinger, 1877)","EXACT","289169"
"289898","Entacmaea quadricolor","Entacmaea quadricolor","Bubble-tip Anemone","urn:lsid:marinespecies.org:taxname:289898","exact","289898","Species","NRL","3",NA,4339208,"Entacmaea quadricolor (Leuckart, 1828)","EXACT","289898"
"290089","Heteractis crispa","Heteractis crispa","Sebae Anemone","urn:lsid:marinespecies.org:taxname:1604100","exact","290089","Species","NRL","3",NA,5184174,"Heteractis crispa (Hemprich & Ehrenberg, 1834)","EXACT","290089"
"854493","Heteractis magnifica","Heteractis magnifica","Magnificent Sea Anemone","urn:lsid:marinespecies.org:taxname:290090","exact","854493","Species","NRL","3",NA,5184183,"Heteractis magnifica (Quoy & Gaimard, 1833)","EXACT","854493"
"1783466","Macrodactyla doreensis","Macrodactyla doreensis","Long Tentacle Anemone","urn:lsid:marinespecies.org:taxname:288167","exact","1783466","Species","NRL","3",NA,5184107,"Macrodactyla doreensis (Quoy & Gaimard, 1833)","EXACT","1783466"
"291133","Stichodactyla gigantea","Stichodactyla gigantea","Gigantic Sea Anemone","urn:lsid:marinespecies.org:taxname:291133","exact","291133","Species","NRL","3",NA,2257005,"Stichodactyla gigantea (Forsskål, 1775)","EXACT","291133"
"291136","Stichodactyla mertensii","Stichodactyla mertensii","Merten's Sea Anemone","urn:lsid:marinespecies.org:taxname:291136","exact","291136","Species","NRL","3",NA,2256992,"Stichodactyla mertensii Brandt, 1835","EXACT","291136"
"212783","Amphiprion clarkii","Amphiprion clarkii","Clark's Anemonefish","urn:lsid:marinespecies.org:taxname:212783","exact","212783","Species","NRL","3",NA,5212081,"Amphiprion clarkii (Bennett, 1830)","EXACT","212783"
"278394","Amphiprion frenatus","Amphiprion frenatus","Tomato Clownfish","urn:lsid:marinespecies.org:taxname:278394","exact","278394","Species","NRL","3",NA,5212111,"Amphiprion frenatus Brevoort, 1856","EXACT","278394"
"278400","Amphiprion ocellaris","Amphiprion ocellaris","Ocellaris Clownfish","urn:lsid:marinespecies.org:taxname:278400","exact","278400","Species","NRL","3",NA,5212106,"Amphiprion ocellaris Cuvier, 1830","EXACT","278400"
"278403","Amphiprion perideraion","Amphiprion perideraion","Pink Skunk Clownfish","urn:lsid:marinespecies.org:taxname:278403","exact","278403","Species","NRL","3",NA,5212059,"Amphiprion perideraion Bleeker, 1855","EXACT","278403"
"212781","Amphiprion polymnus","Amphiprion polymnus","Saddleback Clownfish","urn:lsid:marinespecies.org:taxname:212781","exact","212781","Species","NRL","3",NA,5212096,"Amphiprion polymnus (Linnaeus, 1758)","EXACT","212781"
"278405","Amphiprion sandaracinos","Amphiprion sandaracinos","Orange Skunk Clownfish","urn:lsid:marinespecies.org:taxname:278405","exact","278405","Species","NRL","3",NA,5212089,"Amphiprion sandaracinos Allen, 1972","EXACT","278405"
